"Service","EC2-Other($)","EC2-Instances($)","CloudShell($)","Elastic Load Balancing($)","S3($)","Relational Database Service($)","EC2 Container Registry (ECR)($)","Elastic Container Service for Kubernetes($)","Glue($)","Location Service($)","SNS($)","SQS($)","Tax($)","CloudFormation($)","Cost Explorer($)","API Gateway($)","VPC($)","CloudWatch($)","AppSync($)","CloudTrail($)","DMS($)","Lambda($)","Step Functions($)","DynamoDB($)","ElastiCache($)","CloudWatch Events($)","Certificate Manager($)","CloudFront($)","Cognito($)","Route 53($)","Elastic Container Service($)","Key Management Service($)","WAF($)","Secrets Manager($)","Data Transfer($)","Total costs($)"
"Service total","0.2612437335","0.0000410225","0.000001726","0.0000013169","7.151e-7","1.854e-7","1.214e-7","1e-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1e-10","-4e-8","-2.724e-7","-0.0000011233","-0.2612886568","-0.0000012717"
"2025-12-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-02-01","","","0.000001726","","0.0000001784","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","0","","0","-0.0000019059","-1.5e-9"
"2026-03-01","0.0000001116","0","","","0.0000002004","","","","0","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","0","","0","-0.0000003114","6e-10"
"2026-04-01","0.1559711911","0","","","0.0000001789","0.0000000417","0.0000001209","","0","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","","","-0.0000000001","0","","0","-0.1559713472","1.853e-7"
"2026-05-01","0.1052724308","0.0000410225","0","0.0000013169","0.0000001574","0.0000001437","0.0000000005","0.0000000001","0","","0","0","0","0","","0","0","0","","","","0","","0","","","0","0","0","0","","-0.00000004","-0.0000002724","-0.0000011233","-0.1053150923","-0.0000014561"
